Dataset,Feature,Mean_Positive,Median_Positive,Variance_Positive,Mean_Negative,Median_Negative,Variance_Negative
Dataset_8,occurrences,2.507936507936508,2.0,5.837238599143359,1.9760225669957687,1.0,9.673614081296092
Dataset_8,maxEndColumnNumberInCurrentLine,108.7936507936508,96.0,4062.449483497103,89.02256699576868,74.0,3388.038042681807
Dataset_8,charLength,30.555555555555557,25.0,539.4532627865962,20.76633756464504,14.0,594.6266430510713
Dataset_8,tokenLength,3.4444444444444446,2.0,5.516754850088184,3.7936060178655384,2.0,38.56529997265772
Dataset_8,numsParentVariableDeclarationFragment,0.17513227513227514,0.0,0.12119817474314826,0.25637761778130613,0.0,0.17190648621682808
Dataset_8,isName,0.06349206349206349,0.0,0.05946082136558325,0.33991537376586745,0.0,0.2243729124434781
Dataset_8,isLiteral,0.0,0.0,0.0,0.1227080394922426,0.0,0.1076507765362128
Dataset_8,isGetMethod,0.49206349206349204,0.0,0.24993701184177378,0.0846262341325811,0.0,0.07746463462911865
Dataset_8,isArithmeticExp,0.06349206349206349,0.0,0.059460821365583255,0.2449459332393042,0.0,0.18494742302883047
Dataset_8,largestLineGap,4.698412698412699,2.0,89.92491811539433,6.637987776210625,0.0,457.5097558005088
Dataset_8,numsParentArithmeticExp,2.492063492063492,1.0,37.32930209120683,2.0305594734367656,0.0,62.883410265268736
Dataset_8,isMethodInvocation,0.6190476190476191,1.0,0.235827664399093,0.14480488951574988,0.0,0.12383643348808136
Dataset_9,occurrences,2.25,2.0,6.395833333333333,2.0751633986928106,1.0,10.967739819239243
Dataset_9,maxEndColumnNumberInCurrentLine,105.5,91.0,3531.625,91.06115779645191,76.0,3521.807184093681
Dataset_9,charLength,28.604166666666668,25.0,444.4891493055555,22.46638655462185,14.0,911.956619902863
Dataset_9,tokenLength,3.1458333333333335,3.0,1.9578993055555554,4.063025210084033,2.0,48.087064237459686
Dataset_9,numsParentVariableDeclarationFragment,0.171875,0.0,0.09791847511574074,0.24582829926864802,0.0,0.16514282237553599
Dataset_9,isName,0.041666666666666664,0.0,0.03993055555555557,0.32072829131652664,0.0,0.2178616544657079
Dataset_9,isLiteral,0.0,0.0,0.0,0.1223155929038282,0.0,0.10735448863641317
Dataset_9,isGetMethod,0.375,0.0,0.234375,0.08823529411764706,0.0,0.08044982698961937
Dataset_9,isArithmeticExp,0.041666666666666664,0.0,0.039930555555555566,0.2441643323996265,0.0,0.1845481111834712
Dataset_9,largestLineGap,5.5,1.0,100.75,7.319327731092437,0.0,559.3760876899779
Dataset_9,numsParentArithmeticExp,2.1458333333333335,0.0,38.04123263888888,2.2142857142857144,0.0,70.26827397625718
Dataset_9,isMethodInvocation,0.6041666666666666,1.0,0.23914930555555558,0.15546218487394958,0.0,0.1312936939481675
Dataset_10,occurrences,2.576923076923077,2.0,10.936390532544378,2.0724976613657624,1.0,13.68744755027517
Dataset_10,maxEndColumnNumberInCurrentLine,91.84615384615384,89.5,1163.3224852071005,89.76379794200187,74.0,3510.6387829563664
